Name,Pricing
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹11,499"
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499"
"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹11,499"
"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹12,499"
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹14,999"
"SAMSUNG Galaxy M12 (Blue, 128 GB)","₹12,949"
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹14,999"
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹12,999"
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹12,999"
"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","₹22,999"
"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹22,999"
"SAMSUNG Galaxy M12 (Black, 64 GB)","₹10,939"
SAMSUNG GURU MUSIC 2,"₹2,010"
"SAMSUNG Galaxy M12 (White, 128 GB)","₹12,950"
"SAMSUNG Galaxy M12 (Black, 128 GB)","₹13,199"
"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹10,939"
"SAMSUNG Galaxy A32 (Awesome Blue, 128 GB)","₹23,499"
"SAMSUNG M21 2021 Edition (Charcoal Black, 64 GB)","₹12,969"
"SAMSUNG Galaxy A22 5G (Violet, 128 GB)","₹19,999"
"SAMSUNG Galaxy A20s (Green, 32 GB)","₹10,629"
SAMSUNG Metro 313 Dual Sim,"₹2,499"
"SAMSUNG M32 5G (Sky blue, 128 GB)","₹18,569"
SAMSUNG GURU GT,"₹1,565"
"SAMSUNG Galaxy M52 5G (Icy Blue, 128 GB)","₹27,799"
